Bus,DeviceType,P_pu,Q_pu,I_pu,CurrentAngle_deg,Pmin_pu,Pmax_pu,Qmin_pu,Qmax_pu
3342,1,0.006,0.001,0.0062955248903866,176.848306938679,-Inf,Inf,-0.005,0.005
3540,1,0.006,0.001,0.00609271411062017,148.49972903198,-Inf,Inf,-0.005,0.005
2892,1,0.006,0.001,0.00647727582010199,-162.001299490763,-Inf,Inf,-0.005,0.005
2910,1,0.006,0.001,0.00641600272281745,-163.473131894262,-Inf,Inf,-0.005,0.005
3806,1,0.006,0.001,0.00608315957204351,142.503693077671,-Inf,Inf,-0.005,0.005
3596,1,0.006,0.001,0.00608575814881439,147.906273152858,-Inf,Inf,-0.005,0.005
3043,1,0.006,0.001,0.0061158816309255,-171.426669564073,-Inf,Inf,-0.005,0.005
2067,1,0.006,0.001,0.00623030423668101,-43.8569021915591,-Inf,Inf,-0.005,0.005
555,1,0.006,0.001,0.00731903820566545,19.6855544077027,-Inf,Inf,-0.005,0.005
114,1,0.006,0.001,0.0266969505286229,104.215874626838,-Inf,Inf,-0.005,0.005
1424,1,0.006,0.001,0.00603763711041595,25.9460322313262,-Inf,Inf,-0.005,0.005
3626,1,0.006,0.001,0.00609179686399277,147.250017962083,-Inf,Inf,-0.005,0.005
1245,1,0.006,0.001,0.00574250573637682,20.477050467975,-Inf,Inf,-0.005,0.005
1061,1,0.006,0.001,0.00405856629410967,-20.0039219325813,-Inf,Inf,-0.005,0.005
501,1,0.006,0.001,0.00686334171734734,46.9208860446823,-Inf,Inf,-0.005,0.005
1635,1,0.006,0.001,0.00355620101566401,50.4252104145014,-Inf,Inf,-0.005,0.005
512,1,0.006,0.001,0.00629187519135675,46.0123818715805,-Inf,Inf,-0.005,0.005
309,1,0.006,0.001,0.00559325147460905,175.537783585622,-Inf,Inf,-0.005,0.005
3244,1,0.006,0.001,0.00613037983751905,-176.878068726063,-Inf,Inf,-0.005,0.005
728,1,0.006,0.001,0.00558179467537666,-99.2742162118217,-Inf,Inf,-0.005,0.005
1225,1,0.006,0.001,0.00583382277837218,21.1430551963834,-Inf,Inf,-0.005,0.005
1748,1,0.006,0.001,0.00534951398336089,64.4039291281148,-Inf,Inf,-0.005,0.005
3237,1,0.006,0.001,0.00613016326350916,-176.874193941978,-Inf,Inf,-0.005,0.005
2686,1,0.006,0.001,0.00620337039725012,-120.090268096489,-Inf,Inf,-0.005,0.005
2934,1,0.006,0.001,0.0062071580089352,-167.915946616088,-Inf,Inf,-0.005,0.005
3009,1,0.006,0.001,0.00612444115357504,-169.122346819924,-Inf,Inf,-0.005,0.005
2929,1,0.006,0.001,0.00617282070656201,-168.690188595308,-Inf,Inf,-0.005,0.005
1650,1,0.006,0.001,0.00171339465839971,79.4693805121115,-Inf,Inf,-0.005,0.005
3218,1,0.006,0.001,0.00611068729265136,-176.666118358358,-Inf,Inf,-0.005,0.005
3684,1,0.006,0.001,0.00608586945921714,146.126584654384,-Inf,Inf,-0.005,0.005
1411,1,0.006,0.001,0.00585523651945065,25.546481282623,-Inf,Inf,-0.005,0.005
1872,1,0.006,0.001,0.00627176841956701,7.70744204517523,-Inf,Inf,-0.005,0.005
2364,1,0.006,0.001,0.00614822696656643,-72.1864607566502,-Inf,Inf,-0.005,0.005
