P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail,V1_inv_tail,V2_inv_tail,V3_inv_tail,I1_inv_tail,I2_inv_tail,I3_inv_tail
0.0,100.0,40.0,30.0,0.3402734072603765,0.006121695279611,0.21247269879396208,3.135863414340247,-3.1241918789815792,1.3503885853870916,4.940947084859235,4.934106370688164,4.949057151157814,16.05634004767736,16.104272616902286,16.109450337437064,0.21552371241169638,0.11233432411449627,-0.061287616531841164,2.8311739389894397,0.7301370478158624,0.7303558696182184,0.730864628457326,0.6242695510177566,0.6252405492140627,0.6261534743207746
0.0,90.0,10.0,-60.0,0.3110512754280565,0.0299347059095289,0.18675093892356798,3.009345579354544,0.2024586722044702,1.455820342791416,4.026541022596454,4.0312998275670875,4.0264429888578,11.14472625136742,11.180882760768743,11.123374891183735,0.166471980105038,-0.6166041742338635,-0.04404154377691436,2.0066795585804527,0.5960118919538465,0.5964328271797851,0.5962576082848912,0.5097177701180384,0.5097266367640324,0.509152031950822
0.0,90.0,120.0,-60.0,0.6709759014619527,0.2585074132134831,0.4919534055136528,0.6281754330245075,-0.4333250765694495,0.07302747381311306,6.251664896623758,6.2528189808893995,6.253426957802172,30.758061170680026,30.771795608580543,30.77822295751097,0.3880935195565111,-1.0686069715481985,-0.07247982967766388,2.1764687073488114,0.8226400493613856,0.8224079881491886,0.8224763221900413,0.7927229221407014,0.792912975211626,0.7927729959376623
50.0,0.0,30.0,60.0,0.3041549347619342,0.0321195152083354,0.18864008534207327,3.1404183815190274,-3.134137161169833,0.5597545457781374,4.800447806232241,4.794015775275304,4.8026866822829275,14.729592163647988,14.691444560889233,14.65573342776198,0.20205361571957123,0.3072559182808284,-0.04899487535099357,2.7970386146796544,0.7161655801136465,0.7147240701685381,0.715237119726916,0.606628309504518,0.6069136695699769,0.6077108362252065
50.0,0.0,70.0,-30.0,0.4192956243485767,0.1451335388070341,0.30357452866256335,1.1489992747964086,0.1655597433595463,0.6460835568942779,5.188031762548271,5.189239889283828,5.188174083309504,20.716786779506045,20.72677298957754,20.74574209249522,0.22424649532940527,-0.6320002358776751,-0.06657536078358392,2.5506625676594967,0.7496388388654804,0.7500777114231415,0.7502238068743649,0.6569472015549668,0.6569918056954657,0.6568081176529964
100.0,0.0,80.0,120.0,0.4636088377800729,0.137599818625533,0.3357022569489148,3.140122202170913,-3.141163332674091,-0.24653558767698375,5.356020341211885,5.36407818575198,5.366336383971571,22.664277307215517,22.68077254694103,22.783863818961894,0.25803517820082245,2.0183925155485753,-0.05626312171634871,2.522016053196107,0.764902028038795,0.766863073288052,0.763948922270177,0.6785514124876718,0.6800593347187086,0.6788290633087314
90.0,20.0,110.0,-30.0,0.6191470864965574,0.2455234410572513,0.4565285022677248,1.1464772255521711,0.1111587365404028,0.6069813285371745,6.114698070786848,6.106385184931005,6.111000297403706,28.64835836242351,28.66676908567911,28.628158163681398,0.35341571052036097,-0.5605566326282029,-0.07336950329234038,2.368835372400172,0.8166533090835475,0.8146943323177561,0.8144513032183558,0.7745490051983528,0.7740847287486743,0.7751416000386692
0.0,90.0,100.0,120.0,0.5600838438510646,0.2207401321681129,0.4152226006769669,3.1393720366021203,-3.141261893184649,-0.2997689232439812,5.739704423309127,5.764399839950889,5.760203435548284,26.567830516391368,26.548804174615608,26.540259419621883,0.3131260432829998,2.0400001923689923,-0.0813499687366857,2.2822439538258403,0.7853230087048116,0.786437900044614,0.7861968254545133,0.7285375652514327,0.7312071129172241,0.7282137734703851
50.0,0.0,30.0,0.0,0.306843035240869,0.0297167828099507,0.1921631198007654,3.139225345673275,-3.127464881620371,0.9156383349910568,4.783977250477973,4.7938393206513945,4.784352503624799,14.787889000820126,14.787525817118034,14.784516616782897,0.20247871275985982,-0.20624855467332318,-0.049423505870587456,2.8038637799317034,0.717235352425184,0.7175050207262852,0.716948514082144,0.6059863723778756,0.6061161187391446,0.6047887349637583
90.0,20.0,90.0,0.0,0.5302850122650327,0.1750059124681148,0.3814102040828303,1.6703304918879258,0.6424017730889802,1.1424943185151857,5.882714768929502,5.881060148508636,5.875719894748462,25.32720770660597,24.916568908351735,25.090580806579823,0.29153079484292665,-0.06646393124809508,-0.07526166439657814,2.892766286771601,0.8251399300605128,0.8265076016567974,0.8287340587451772,0.7448888758741821,0.7445742855319526,0.7449116853444515
100.0,0.0,20.0,-30.0,0.2940760965667297,0.0222203604583716,0.1741453482920297,3.1082023332635687,-3.0887022373698856,0.6450992335414207,4.482199891717685,4.481119489607047,4.481477934617257,13.021194283179867,12.996497617880081,13.050615320983994,0.18755007138029678,-0.3424972515530217,-0.04161596816856304,2.49882057453886,0.6672184102228546,0.668495375738798,0.6678760861685827,0.5669389492249954,0.5668305009664328,0.566937899386804
0.0,20.0,30.0,0.0,0.3066496106951428,0.0351325922667885,0.1935735370347277,3.128955373363909,-3.104617289478419,0.889891398232699,4.813776177532137,4.8140762069799266,4.810142427048315,14.859012399188446,14.870095609214165,14.850168841639077,0.2062980647903994,-0.21602379403132063,-0.04804717442967781,2.8414586093368266,0.7212654680366652,0.7213711750015663,0.7206362638036763,0.6090896825777339,0.6087243456584968,0.6086421911060451
0.0,100.0,90.0,0.0,0.5265904056531581,0.1844394858747955,0.3822212764828954,1.651289791157756,0.6688611081777246,1.1460521558571417,5.725991883742911,5.726205728799084,5.720598257255938,24.82239248499143,24.564945529535525,24.925036492868813,0.2849444899460531,-0.0647264904168989,-0.08012336979081205,2.619193804860254,0.7960622954283999,0.7999314985165438,0.7990017786373939,0.7252224895664504,0.7253331547199571,0.7248809425154079
0.0,20.0,50.0,0.0,0.3775643510717231,0.021626383446523,0.2418453744839524,2.201084526937048,0.1963064874111244,1.2303537315360777,5.1557909230803505,5.140728468240179,5.143928745309189,17.670497939269865,17.738109374170627,17.702021313394553,0.22340704906068667,-0.1652396942940566,-0.057640774166530906,2.9313382008974234,0.7565098951314593,0.7542793679258849,0.7549166870376718,0.6517766278065155,0.6502073886103755,0.6520765904054967
90.0,0.0,80.0,0.0,0.4755292812141171,0.1483526009295995,0.3413746713973424,1.6838954856498816,0.6437290982809609,1.1507892817352445,5.582106017000606,5.587954707815072,5.582142307569029,23.145357420397175,23.18791534474692,23.135636143618967,0.26006750351579844,-0.08310229528557593,-0.07458198332276834,2.8479837299127406,0.8049870747243443,0.8040064575301945,0.8027616342965357,0.7073474462062611,0.7074251392611786,0.7065517309042074
20.0,90.0,60.0,0.0,0.3894874923802048,0.0985080375945569,0.269560490925114,1.7947797272988115,0.6415060621128491,1.189086942330977,4.987593994064048,4.983645451792484,4.988383509914115,18.690096849438703,18.683325023865642,18.703868418334626,0.20811995056827642,-0.11658282053685977,-0.05720880372931675,2.5039053843199786,0.7217030771659997,0.7234252670672289,0.7219129192097269,0.6309843038262952,0.63109089048446,0.6315882317830948
